L,X,mode,a_bias,b_bias,simulations,len_data
hs,0.05,bal,50.0,50.0,30.880000000000003,30000.0
hs,0.05,unbal1,66.66666666666666,33.33333333333333,29.031111111111112,22500.0
hs,0.05,unbal2,75.0,25.0,28.97,30000.0
hs,0.05,adj,50.0,50.0,30.329999999999995,30000.0
hs,0.1,bal,50.0,50.0,31.086666666666666,30000.0
hs,0.1,unbal1,66.66666666666666,33.33333333333333,28.666666666666668,22500.0
hs,0.1,unbal2,75.0,25.0,27.0,30000.0
hs,0.1,adj,50.0,50.0,31.22,30000.0
hs,0.15,bal,50.0,50.0,31.809999999999995,30000.0
hs,0.15,unbal1,66.66666666666666,33.33333333333333,27.73777777777778,22500.0
hs,0.15,unbal2,75.0,25.0,26.063333333333333,30000.0
hs,0.15,adj,50.0,50.0,31.94666666666667,30000.0
hs,0.2,bal,50.0,50.0,33.040000000000006,30000.0
hs,0.2,unbal1,66.66666666666666,33.33333333333333,27.648888888888894,22500.0
hs,0.2,unbal2,75.0,25.0,25.39,30000.0
hs,0.2,adj,50.0,50.0,33.37,30000.0
hs,0.25,bal,50.0,50.0,34.026666666666664,30000.0
hs,0.25,unbal1,66.66666666666666,33.33333333333333,27.64444444444444,22500.0
hs,0.25,unbal2,75.0,25.0,24.633333333333333,30000.0
hs,0.25,adj,50.0,50.0,34.153333333333336,30000.0
hs,0.3,bal,50.0,50.0,35.263333333333335,30000.0
hs,0.3,unbal1,66.66666666666666,33.33333333333333,27.853333333333335,22500.0
hs,0.3,unbal2,75.0,25.0,23.733333333333334,30000.0
hs,0.3,adj,50.0,50.0,35.406666666666666,30000.0
ol,0.05,bal,50.0,50.0,56.42333333333333,30000.0
ol,0.05,unbal1,66.66666666666666,33.33333333333333,54.90222222222222,22500.0
ol,0.05,unbal2,75.0,25.0,53.983333333333334,30000.0
ol,0.05,adj,50.0,50.0,56.713333333333345,30000.0
ol,0.1,bal,50.0,50.0,55.913333333333334,30000.0
ol,0.1,unbal1,66.66666666666666,33.33333333333333,53.45333333333333,22500.0
ol,0.1,unbal2,75.0,25.0,52.28333333333334,30000.0
ol,0.1,adj,50.0,50.0,56.42999999999999,30000.0
ol,0.15,bal,50.0,50.0,56.02,30000.0
ol,0.15,unbal1,66.66666666666666,33.33333333333333,52.15999999999999,22500.0
ol,0.15,unbal2,75.0,25.0,50.03666666666666,30000.0
ol,0.15,adj,50.0,50.0,56.14666666666667,30000.0
ol,0.2,bal,50.0,50.0,55.996666666666655,30000.0
ol,0.2,unbal1,66.66666666666666,33.33333333333333,51.07555555555555,22500.0
ol,0.2,unbal2,75.0,25.0,48.193333333333335,30000.0
ol,0.2,adj,50.0,50.0,55.64,30000.0
ol,0.25,bal,50.0,50.0,55.55,30000.0
ol,0.25,unbal1,66.66666666666666,33.33333333333333,49.76444444444444,22500.0
ol,0.25,unbal2,75.0,25.0,46.46666666666667,30000.0
ol,0.25,adj,50.0,50.0,55.58,30000.0
ol,0.3,bal,50.0,50.0,54.93666666666667,30000.0
ol,0.3,unbal1,66.66666666666666,33.33333333333333,48.16,22500.0
ol,0.3,unbal2,75.0,25.0,44.663333333333334,30000.0
ol,0.3,adj,50.0,50.0,54.779999999999994,30000.0
